1
0.581614	-0.744938	-0.448449	1.99346	-0.136992	0.283039	-0.161652	
0.561609	-0.760988	-0.453343	1.94586	-0.138869	0.262937	-0.176777	
0.561026	-0.779301	-0.456465	1.95437	-0.139272	0.267753	-0.176233	
0.245937	-0.616301	-0.192943	1.82358	-0.10457	0.440305	0.0445993	
0.274603	-0.612049	-0.220583	1.79861	-0.120276	0.423941	0.0963196	
0.291886	-0.619014	-0.236324	1.82001	-0.131663	0.390134	0.205137	
-0.433067	-0.350814	0.337572	1.551	0.0995825	0.651799	0.5693	
0.105548	-0.186769	0.0326347	1.59022	-0.482607	0.37526	1.492	
-1.01671	0.327128	0.632579	1.08304	1.16654	0.260004	0.817802	
-0.61559	1.96774	2.74273	-1.17287	0.600094	-1.55969	0.0241971	
-0.0726038	3.60835	5.88432	1.32295	5.31248	0.534706	6.30738	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	nan	nan	nan	-nan	
-0.00207712	-0.667987	-0.00162122	1.841	-0.00066462	0.443532	-4.41389e-05	
-0.00383551	-0.667145	-0.00365789	1.84035	-0.00124191	0.443308	-0.000424772	
-0.00554545	-0.666443	-0.00567236	1.83999	-0.00181347	0.443038	-0.00028101	
-0.00722085	-0.665863	-0.00771387	1.83988	-0.00239577	0.442492	0.000878666	
-0.00882147	-0.665507	-0.00981223	1.84025	-0.00300564	0.44139	0.00407069	
-0.0102568	-0.665551	-0.0120317	1.84158	-0.0036952	0.439158	0.0113389	
-0.0113061	-0.666293	-0.0145153	1.84478	-0.00464199	0.434619	0.0268229	
-0.0113736	-0.668151	-0.0176033	1.8516	-0.00649778	0.425285	0.0590248	
-0.00864665	-0.671301	-0.0222075	1.86539	-0.01179	0.405646	0.125888	
0.00311235	-0.673478	-0.0312796	1.89212	-0.0308743	0.362437	0.267311	
0.0486154	-0.659945	-0.0577017	1.94181	-0.110904	0.258757	0.582402	
0.270837	-0.570327	-0.203728	2.05117	-0.571091	-0.0530617	1.43359	
-1.29996	0.21576	2.93786	1.85341	4.1413	0.109124	-3.00411	
-2.87076	1.85637	-0.203728	4.34923	-0.571091	-1.98527	-7.68188	
-4.26726	3.49698	-1.41544	3.80432	-1.05356	-1.82744	-9.56957	
-5.18669	1.85637	-1.34565	2.39645	1.16804	-0.406207	-8.35698	
-6.75749	3.49698	-1.20835	0.50263	-0.512741	1.68819	-2.0738	
-5.51736	1.85637	-1.70863	0.35329	-0.841803	0.46489	-6.93036	
