0.354352	-0.0625795	0.771824	0.206471	-0.978442	-0.00454159	-0.0210902	0.000190164	-0.999778	0.978225	0.206521	-0.0205963	
0.34203	-0.0868765	0.805513	0.165337	-0.986236	0.00115326	0.057497	0.00847169	-0.99831	0.98456	0.165124	0.0581063	
0.335895	-0.0915191	0.803789	0.165879	-0.986117	-0.00754525	0.0592254	0.0175994	-0.998089	0.984366	0.165116	0.0613226	
0.350764	-0.0342831	0.843959	0.0475597	-0.997221	-0.057346	-0.0904864	0.0528737	-0.994493	0.994761	0.0524868	-0.0877203	
0.35155	-0.0428549	0.857637	0.0438529	-0.992975	-0.109896	-0.0593409	0.107219	-0.992463	0.997274	0.0500437	-0.0542222	
0.35328	-0.0456641	0.850407	0.0435734	-0.975406	-0.216066	-0.0474951	0.214005	-0.975677	0.997921	0.0527756	-0.0370022	
0.456504	0.0195503	0.869863	-0.228156	-0.837067	-0.497257	-0.207657	0.540812	-0.815108	0.951222	-0.0827131	-0.297212	
0.538277	0.0544419	0.819242	-0.158108	-0.531944	-0.831887	-0.0572246	0.846005	-0.530096	0.985762	-0.0362081	-0.164201	
0.646089	-0.362295	0.870582	0.232436	0.496669	-0.836237	0.0827592	0.846568	0.525808	0.969084	-0.191423	0.155669	
0.17866	-0.280775	-0.350289	0.838148	0.431748	-0.33332	-0.197794	-0.328921	-0.923412	-0.508316	0.839884	-0.190287	
-0.752238	-0.234055	0.0545079	-0.0106324	-0.45437	-0.89075	0.784363	-0.556304	0.274407	-0.62021	-0.695754	0.362306	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	-nan	
-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	-nan	-nan	nan	
0.317083	-0.00164377	0.856795	-0.00360533	-0.999993	-0.000347376	-0.0457325	0.000511896	-0.998954	0.998947	-0.00358567	-0.045734	
0.317407	-0.00342582	0.856945	-0.00717051	-0.999974	-0.000693937	-0.0456961	0.0010209	-0.998955	0.99893	-0.0071313	-0.0457023	
0.317703	-0.00518046	0.856969	-0.0106926	-0.999942	-0.00155363	-0.0457608	0.00204142	-0.99895	0.998895	-0.0106103	-0.04578	
0.317975	-0.00694146	0.85692	-0.0142524	-0.999893	-0.0034332	-0.0456575	0.00408076	-0.998949	0.998855	-0.0140806	-0.0457108	
0.318213	-0.00871356	0.856723	-0.0178825	-0.999813	-0.007352	-0.0452154	0.00815433	-0.998944	0.998817	-0.0175312	-0.0453528	
0.318413	-0.0105068	0.856235	-0.0216414	-0.999648	-0.0153455	-0.044087	0.0162884	-0.998895	0.998793	-0.0209409	-0.044424	
0.318589	-0.0123411	0.855165	-0.0256129	-0.999176	-0.0314756	-0.0415616	0.032523	-0.998606	0.998808	-0.024269	-0.0423603	
0.318852	-0.0142538	0.852922	-0.0298286	-0.997515	-0.0638275	-0.0361799	0.0648916	-0.997236	0.9989	-0.0274369	-0.0380256	
0.319728	-0.01631	0.848286	-0.033767	-0.991157	-0.128328	-0.0249482	0.129197	-0.991305	0.999118	-0.0302719	-0.0290902	
0.323434	-0.0185804	0.838635	-0.0337106	-0.96636	-0.254974	-0.00203751	0.255185	-0.96689	0.99943	-0.0320749	-0.0105714	
0.338737	-0.020549	0.817532	-0.0084152	-0.872141	-0.489182	0.0389434	0.488542	-0.871671	0.999206	-0.0263857	0.029853	
0.395328	-0.00509314	0.751906	0.168327	-0.549887	-0.818102	-0.0221045	0.82763	-0.560839	0.985483	0.112488	0.127157	
-0.00886836	0.539471	0.717885	0.383779	-0.0221851	-0.923158	-0.92322	0.0118356	-0.384089	0.0194472	0.999684	-0.0159395	
-0.239037	-0.213975	0.604968	-0.457957	0.396272	-0.795766	0.324394	0.907917	0.265434	0.827674	-0.136584	-0.544336	
-0.188969	-0.185374	0.301897	-0.519066	-0.819245	-0.243739	0.472093	-0.0370706	-0.880769	0.71253	-0.572245	0.406002	
0.385977	-0.208043	0.266412	0.786599	0.573047	0.229955	-0.381358	0.157972	0.91083	0.485622	-0.804153	0.342797	
-0.455152	-0.145307	-0.430898	-0.925248	-0.118361	-0.360426	0.376625	-0.400522	-0.835306	-0.045491	-0.90861	0.41516	
0.88957	0.516938	0.105312	-0.155292	0.976859	-0.147077	-0.210733	0.112698	0.971026	0.96513	0.181787	0.188355	
